original_mRNAID	new_ID
SRR15192315_FUN_000098-T1	SRR15192315_CNB1
SRR15192315_FUN_000103-T1	SRR15192315_POM1
SRR15192315_FUN_000105-T1	SRR15192315_PXA2
SRR15192315_FUN_000114-T1	SRR15192315_URK1
SRR15192315_FUN_000116-T1	SRR15192315_ALT1
SRR15192315_FUN_000117-T1	SRR15192315_GAA1
SRR15192315_FUN_000124-T1	SRR15192315_GPI17
SRR15192315_FUN_000126-T1	SRR15192315_BUD5
SRR15192315_FUN_000127-T1	SRR15192315_ACO2
SRR15192315_FUN_000128-T1	SRR15192315_VMA2
SRR15192315_FUN_000132-T1	SRR15192315_PTC4
SRR15192315_FUN_000134-T1	SRR15192315_TPS1
SRR15192315_FUN_000135-T1	SRR15192315_hrf1
SRR15192315_FUN_000136-T1	SRR15192315_POL2
SRR15192315_FUN_000141-T1	SRR15192315_ISN1
SRR15192315_FUN_000144-T1	SRR15192315_MEU1
SRR15192315_FUN_000146-T1	SRR15192315_DGA1
SRR15192315_FUN_000147-T1	SRR15192315_ORC3
SRR15192315_FUN_000149-T1	SRR15192315_CPH2
SRR15192315_FUN_000150-T1	SRR15192315_STV1
SRR15192315_FUN_000151-T1	SRR15192315_HRD3
SRR15192315_FUN_000152-T1	SRR15192315_dna2
SRR15192315_FUN_000153-T1	SRR15192315_NOP58
SRR15192315_FUN_000154-T1	SRR15192315_GAP1_1
SRR15192315_FUN_000155-T1	SRR15192315_GAP1_2
SRR15192315_FUN_000156-T1	SRR15192315_lsm8
SRR15192315_FUN_000157-T1	SRR15192315_MDE1
SRR15192315_FUN_000955-T1	SRR15192315_ETT1
SRR15192315_FUN_000956-T1	SRR15192315_MET1
SRR15192315_FUN_000961-T1	SRR15192315_CUE5
SRR15192315_FUN_000963-T1	SRR15192315_GAT1
SRR15192315_FUN_000966-T1	SRR15192315_TOP2
SRR15192315_FUN_000969-T1	SRR15192315_asa1
SRR15192315_FUN_000970-T1	SRR15192315_SHE3
SRR15192315_FUN_000974-T1	SRR15192315_LCL3
SRR15192315_FUN_000975-T1	SRR15192315_PCM1
SRR15192315_FUN_000977-T1	SRR15192315_KAR9
SRR15192315_FUN_000979-T1	SRR15192315_DIM1
SRR15192315_FUN_000981-T1	SRR15192315_KEL3
SRR15192315_FUN_000982-T1	SRR15192315_rrb1
SRR15192315_FUN_000983-T1	SRR15192315_prp1
SRR15192315_FUN_000984-T1	SRR15192315_MAD1
SRR15192315_FUN_000985-T1	SRR15192315_MMS2
SRR15192315_FUN_000991-T1	SRR15192315_CDC28
SRR15192315_FUN_000992-T1	SRR15192315_SAT4
SRR15192315_FUN_000994-T1	SRR15192315_GUK1
SRR15192315_FUN_000995-T1	SRR15192315_MTR10
SRR15192315_FUN_000998-T1	SRR15192315_CCC2
SRR15192315_FUN_001001-T1	SRR15192315_PEX2
SRR15192315_FUN_001002-T1	SRR15192315_CDC15
SRR15192315_FUN_001004-T1	SRR15192315_LEM3
SRR15192315_FUN_001005-T1	SRR15192315_ERF1
SRR15192315_FUN_001006-T1	SRR15192315_MAK5
SRR15192315_FUN_001007-T1	SRR15192315_BMT2
SRR15192315_FUN_001009-T1	SRR15192315_HXT5_1
SRR15192315_FUN_001010-T1	SRR15192315_HXT5_2
SRR15192315_FUN_001011-T1	SRR15192315_ZTA1
SRR15192315_FUN_001012-T1	SRR15192315_AAT1
SRR15192315_FUN_001013-T1	SRR15192315_PGM2
SRR15192315_FUN_001020-T1	SRR15192315_SEC17
SRR15192315_FUN_001021-T1	SRR15192315_CPA2
SRR15192315_FUN_001022-T1	SRR15192315_GPI19
SRR15192315_FUN_001024-T1	SRR15192315_BUD14
SRR15192315_FUN_001026-T1	SRR15192315_FTH2
SRR15192315_FUN_001029-T1	SRR15192315_NPC2
SRR15192315_FUN_001030-T1	SRR15192315_rec8
SRR15192315_FUN_001031-T1	SRR15192315_LSP1
SRR15192315_FUN_001032-T1	SRR15192315_HAT1
SRR15192315_FUN_001033-T1	SRR15192315_DUR1
SRR15192315_FUN_001034-T1	SRR15192315_DUR3
SRR15192315_FUN_001035-T1	SRR15192315_VPS36
SRR15192315_FUN_001036-T1	SRR15192315_HYM1
SRR15192315_FUN_001037-T1	SRR15192315_BAT2
SRR15192315_FUN_004523-T1	SRR15192315_VPS60
SRR15192315_FUN_004524-T1	SRR15192315_QDR1_2
SRR15192315_FUN_004525-T1	SRR15192315_UGA4_2
SRR15192315_FUN_004527-T1	SRR15192315_NRK1
SRR15192315_FUN_004528-T1	SRR15192315_NAT10
SRR15192315_FUN_004529-T1	SRR15192315_NDT80_2
SRR15192315_FUN_004530-T1	SRR15192315_LSM2
SRR15192315_FUN_004532-T1	SRR15192315_RFT1
SRR15192315_FUN_004533-T1	SRR15192315_HAP3
SRR15192315_FUN_004535-T1	SRR15192315_NCL1
SRR15192315_FUN_004538-T1	SRR15192315_PIM1
SRR15192315_FUN_004540-T1	SRR15192315_MCM2
SRR15192315_FUN_004544-T1	SRR15192315_CYS17
SRR15192315_FUN_004546-T1	SRR15192315_NUA3
SRR15192315_FUN_004547-T1	SRR15192315_CBR1
SRR15192315_FUN_004548-T1	SRR15192315_VPS62
SRR15192315_FUN_004549-T1	SRR15192315_GAP5
SRR15192315_FUN_004550-T1	SRR15192315_TSC2
SRR15192315_FUN_004552-T1	SRR15192315_PUF3
SRR15192315_FUN_004554-T1	SRR15192315_HSV2
SRR15192315_FUN_004555-T1	SRR15192315_cut9
SRR15192315_FUN_004556-T1	SRR15192315_MAK11
SRR15192315_FUN_004557-T1	SRR15192315_LYS1
SRR15192315_FUN_004561-T1	SRR15192315_GAL4
SRR15192315_FUN_004563-T1	SRR15192315_GYP5
SRR15192315_FUN_004564-T1	SRR15192315_RPS4_2
SRR15192315_FUN_004566-T1	SRR15192315_MTR2
SRR15192315_FUN_004568-T1	SRR15192315_ASH1
SRR15192315_FUN_004571-T1	SRR15192315_fcp1
SRR15192315_FUN_004575-T1	SRR15192315_VAN1
SRR15192315_FUN_004576-T1	SRR15192315_IDP1
SRR15192315_FUN_004578-T1	SRR15192315_PCF11
SRR15192315_FUN_004579-T1	SRR15192315_COX8
SRR15192315_FUN_004580-T1	SRR15192315_COX9
SRR15192315_FUN_004581-T1	SRR15192315_VPS33
SRR15192315_FUN_004582-T1	SRR15192315_TES1
SRR15192315_FUN_004586-T1	SRR15192315_MLH3
SRR15192315_FUN_004587-T1	SRR15192315_TPC1
SRR15192315_FUN_004591-T1	SRR15192315_COX17
SRR15192315_FUN_004593-T1	SRR15192315_REG1
SRR15192315_FUN_004594-T1	SRR15192315_tit1
SRR15192315_FUN_004595-T1	SRR15192315_RIM20
SRR15192315_FUN_004596-T1	SRR15192315_CEF1
SRR15192315_FUN_004598-T1	SRR15192315_PZF1
SRR15192315_FUN_004604-T1	SRR15192315_MEC1
SRR15192315_FUN_004605-T1	SRR15192315_CKS1
SRR15192315_FUN_004607-T1	SRR15192315_CWC25
SRR15192315_FUN_004608-T1	SRR15192315_SUI1
SRR15192315_FUN_004609-T1	SRR15192315_CDS1
SRR15192315_FUN_004610-T1	SRR15192315_SCW11
SRR15192315_FUN_004612-T1	SRR15192315_NDH51
SRR15192315_FUN_004613-T1	SRR15192315_KTR2
SRR15192315_FUN_004614-T1	SRR15192315_ebp2
SRR15192315_FUN_004615-T1	SRR15192315_ERG20
SRR15192315_FUN_004616-T1	SRR15192315_QCR8
SRR15192315_FUN_004618-T1	SRR15192315_RPL17B
SRR15192315_FUN_004620-T1	SRR15192315_MSRB5
SRR15192315_FUN_004621-T1	SRR15192315_HMT1
SRR15192315_FUN_004625-T1	SRR15192315_IME2
SRR15192315_FUN_004628-T1	SRR15192315_SLD2
SRR15192315_FUN_004629-T1	SRR15192315_ATP25
SRR15192315_FUN_004631-T1	SRR15192315_KTI12
SRR15192315_FUN_004632-T1	SRR15192315_mtg1
SRR15192315_FUN_004633-T1	SRR15192315_YKU80
SRR15192315_FUN_004635-T1	SRR15192315_GLC3
SRR15192315_FUN_004636-T1	SRR15192315_AIP1
SRR15192315_FUN_004637-T1	SRR15192315_ARP4
SRR15192315_FUN_004638-T1	SRR15192315_MIC60
SRR15192315_FUN_004641-T1	SRR15192315_PRA1
SRR15192315_FUN_004643-T1	SRR15192315_ADE1
SRR15192315_FUN_004644-T1	SRR15192315_GSP1
SRR15192315_FUN_004646-T1	SRR15192315_ATP14
SRR15192315_FUN_004649-T1	SRR15192315_MCM5
SRR15192315_FUN_004652-T1	SRR15192315_RPL18
SRR15192315_FUN_004653-T1	SRR15192315_RPS19A
SRR15192315_FUN_004654-T1	SRR15192315_DYN1
SRR15192315_FUN_004656-T1	SRR15192315_PMS1
SRR15192315_FUN_004659-T1	SRR15192315_ESF1
SRR15192315_FUN_004660-T1	SRR15192315_RTC5
SRR15192315_FUN_004662-T1	SRR15192315_rio1
SRR15192315_FUN_004664-T1	SRR15192315_RTG3
SRR15192315_FUN_004666-T1	SRR15192315_BIG1
SRR15192315_FUN_004668-T1	SRR15192315_RPS17B
SRR15192315_FUN_004669-T1	SRR15192315_ADA2
SRR15192315_FUN_004671-T1	SRR15192315_UTP6
SRR15192315_FUN_004673-T1	SRR15192315_CTR2
SRR15192315_FUN_004675-T1	SRR15192315_GCD6
SRR15192315_FUN_004676-T1	SRR15192315_ERG1
SRR15192315_FUN_004677-T1	SRR15192315_VCX1
SRR15192315_FUN_004679-T1	SRR15192315_PCL2
SRR15192315_FUN_004680-T1	SRR15192315_cct1
SRR15192315_FUN_004684-T1	SRR15192315_CDC54
SRR15192315_FUN_004685-T1	SRR15192315_MDH2
SRR15192315_FUN_004688-T1	SRR15192315_HIS4
SRR15192315_FUN_004689-T1	SRR15192315_PEX5
SRR15192315_FUN_004691-T1	SRR15192315_SWI1
SRR15192315_FUN_004692-T1	SRR15192315_MNN10
SRR15192315_FUN_004693-T1	SRR15192315_PEX10
SRR15192315_FUN_004694-T1	SRR15192315_eso1
SRR15192315_FUN_004696-T1	SRR15192315_AIM14_2
SRR15192315_FUN_004698-T1	SRR15192315_KHA1
SRR15192315_FUN_004704-T1	SRR15192315_PMR1
SRR15192315_FUN_004712-T1	SRR15192315_NIT2
SRR15192315_FUN_001038-T1	SRR15192315_CZF1
SRR15192315_FUN_001039-T1	SRR15192315_SLY1
SRR15192315_FUN_001040-T1	SRR15192315_RVB1
SRR15192315_FUN_001042-T1	SRR15192315_MSC2
SRR15192315_FUN_001044-T1	SRR15192315_RPT5
SRR15192315_FUN_001046-T1	SRR15192315_RPO31
SRR15192315_FUN_001047-T1	SRR15192315_CTA6
SRR15192315_FUN_001049-T1	SRR15192315_TRP4
SRR15192315_FUN_001050-T1	SRR15192315_brr2
SRR15192315_FUN_001051-T1	SRR15192315_PDA1
SRR15192315_FUN_001053-T1	SRR15192315_PUP3
SRR15192315_FUN_001056-T1	SRR15192315_SIN4
SRR15192315_FUN_001055-T1	SRR15192315_HSM3
SRR15192315_FUN_001057-T1	SRR15192315_SHM1
SRR15192315_FUN_001059-T1	SRR15192315_CPY1
SRR15192315_FUN_001061-T1	SRR15192315_MTR4
SRR15192315_FUN_001062-T1	SRR15192315_GYP7
SRR15192315_FUN_001064-T1	SRR15192315_RAP1
SRR15192315_FUN_001065-T1	SRR15192315_MP65
SRR15192315_FUN_001067-T1	SRR15192315_UBP15
SRR15192315_FUN_001070-T1	SRR15192315_CWC22
SRR15192315_FUN_001071-T1	SRR15192315_CYC1
SRR15192315_FUN_001073-T1	SRR15192315_PLP2
SRR15192315_FUN_001076-T1	SRR15192315_SOL1
SRR15192315_FUN_001078-T1	SRR15192315_UBC12
SRR15192315_FUN_001080-T1	SRR15192315_PRP46
SRR15192315_FUN_001081-T1	SRR15192315_ESA1
SRR15192315_FUN_001083-T1	SRR15192315_RRD2
SRR15192315_FUN_001084-T1	SRR15192315_CLP1
SRR15192315_FUN_001086-T1	SRR15192315_GLR1
SRR15192315_FUN_001088-T1	SRR15192315_sof1
SRR15192315_FUN_001089-T1	SRR15192315_HRK1
SRR15192315_FUN_001090-T1	SRR15192315_IST1
SRR15192315_FUN_001091-T1	SRR15192315_LIS1
SRR15192315_FUN_001092-T1	SRR15192315_tum1
SRR15192315_FUN_001093-T1	SRR15192315_PUS7
SRR15192315_FUN_001095-T1	SRR15192315_KIP2
SRR15192315_FUN_001096-T1	SRR15192315_RAD53
SRR15192315_FUN_001097-T1	SRR15192315_PTR2_1
SRR15192315_FUN_001100-T1	SRR15192315_YEA4
SRR15192315_FUN_001101-T1	SRR15192315_MEF2
SRR15192315_FUN_001102-T1	SRR15192315_SEY1
SRR15192315_FUN_001103-T1	SRR15192315_NAG5
SRR15192315_FUN_001104-T1	SRR15192315_NAG1
SRR15192315_FUN_001105-T1	SRR15192315_NAG2
SRR15192315_FUN_001106-T1	SRR15192315_JID1
SRR15192315_FUN_001109-T1	SRR15192315_TAF11
SRR15192315_FUN_001111-T1	SRR15192315_TRM9
SRR15192315_FUN_004714-T1	SRR15192315_STE11
SRR15192315_FUN_004716-T1	SRR15192315_YIM1_2
SRR15192315_FUN_004717-T1	SRR15192315_GNA1
SRR15192315_FUN_004721-T1	SRR15192315_RPS0
SRR15192315_FUN_004725-T1	SRR15192315_gpi1
SRR15192315_FUN_004726-T1	SRR15192315_NMA1
SRR15192315_FUN_004731-T1	SRR15192315_MOT1
SRR15192315_FUN_004732-T1	SRR15192315_RIM2
SRR15192315_FUN_004734-T1	SRR15192315_MED8
SRR15192315_FUN_004735-T1	SRR15192315_GDT1
SRR15192315_FUN_004737-T1	SRR15192315_ALG2
SRR15192315_FUN_004738-T1	SRR15192315_YPO7
SRR15192315_FUN_004740-T1	SRR15192315_MHR1
SRR15192315_FUN_004743-T1	SRR15192315_GRS1
SRR15192315_FUN_004745-T1	SRR15192315_GSM1
SRR15192315_FUN_004747-T1	SRR15192315_SAM3
SRR15192315_FUN_004754-T1	SRR15192315_RIA1
SRR15192315_FUN_004756-T1	SRR15192315_DHH1
SRR15192315_FUN_004757-T1	SRR15192315_ADE4
SRR15192315_FUN_004758-T1	SRR15192315_EGD1
SRR15192315_FUN_004760-T1	SRR15192315_PRP28
SRR15192315_FUN_004767-T1	SRR15192315_RPS14B
SRR15192315_FUN_004770-T1	SRR15192315_YIP3
SRR15192315_FUN_004771-T1	SRR15192315_LAP2
SRR15192315_FUN_004775-T1	SRR15192315_YUH1
SRR15192315_FUN_004782-T1	SRR15192315_CEM1
SRR15192315_FUN_004786-T1	SRR15192315_NAS6
SRR15192315_FUN_004787-T1	SRR15192315_SNF3
SRR15192315_FUN_004789-T1	SRR15192315_CCC1
SRR15192315_FUN_004795-T1	SRR15192315_GRP1
SRR15192315_FUN_004797-T1	SRR15192315_STB5
SRR15192315_FUN_004798-T1	SRR15192315_HMI1
SRR15192315_FUN_004799-T1	SRR15192315_VPS52
SRR15192315_FUN_004800-T1	SRR15192315_RFC4
SRR15192315_FUN_004801-T1	SRR15192315_POP3
SRR15192315_FUN_004802-T1	SRR15192315_RPO21
SRR15192315_FUN_004803-T1	SRR15192315_MAL9
SRR15192315_FUN_004806-T1	SRR15192315_smd1
SRR15192315_FUN_004807-T1	SRR15192315_MRPL25
SRR15192315_FUN_004808-T1	SRR15192315_ATP16
SRR15192315_FUN_004810-T1	SRR15192315_MCD1
SRR15192315_FUN_004812-T1	SRR15192315_SLD5
SRR15192315_FUN_004813-T1	SRR15192315_RTC1
SRR15192315_FUN_004815-T1	SRR15192315_ERG7
SRR15192315_FUN_004816-T1	SRR15192315_UTP22
SRR15192315_FUN_004818-T1	SRR15192315_RPC40
SRR15192315_FUN_004821-T1	SRR15192315_CDC7
SRR15192315_FUN_004823-T1	SRR15192315_RPF2
SRR15192315_FUN_004826-T1	SRR15192315_TMP1
SRR15192315_FUN_004827-T1	SRR15192315_WHS11
SRR15192315_FUN_004831-T1	SRR15192315_BNA4
SRR15192315_FUN_004832-T1	SRR15192315_FBP26
SRR15192315_FUN_004833-T1	SRR15192315_hus5
SRR15192315_FUN_004834-T1	SRR15192315_PEX19
SRR15192315_FUN_004835-T1	SRR15192315_AFG2
SRR15192315_FUN_004837-T1	SRR15192315_SKI2
SRR15192315_FUN_004838-T1	SRR15192315_PTC5
SRR15192315_FUN_004839-T1	SRR15192315_RPS20
SRR15192315_FUN_004840-T1	SRR15192315_ATP10
SRR15192315_FUN_004841-T1	SRR15192315_DCP2
SRR15192315_FUN_004843-T1	SRR15192315_rio2
SRR15192315_FUN_004844-T1	SRR15192315_SSB1
SRR15192315_FUN_004846-T1	SRR15192315_PTP1
SRR15192315_FUN_004848-T1	SRR15192315_VPS21
SRR15192315_FUN_004851-T1	SRR15192315_PTK2
SRR15192315_FUN_004852-T1	SRR15192315_RPL32
SRR15192315_FUN_004853-T1	SRR15192315_FMP27
SRR15192315_FUN_004854-T1	SRR15192315_ROX3
SRR15192315_FUN_004855-T1	SRR15192315_TIF3
SRR15192315_FUN_004857-T1	SRR15192315_ANB1
SRR15192315_FUN_004861-T1	SRR15192315_MIP1
SRR15192315_FUN_004862-T1	SRR15192315_PCC1
SRR15192315_FUN_004864-T1	SRR15192315_IRE1
SRR15192315_FUN_004867-T1	SRR15192315_ERD1
SRR15192315_FUN_004869-T1	SRR15192315_mrpl3
SRR15192315_FUN_004870-T1	SRR15192315_PUR25
SRR15192315_FUN_004871-T1	SRR15192315_GSH1
SRR15192315_FUN_004872-T1	SRR15192315_SMI1_2
SRR15192315_FUN_004874-T1	SRR15192315_BNA6
SRR15192315_FUN_004875-T1	SRR15192315_ECO1
SRR15192315_FUN_004879-T1	SRR15192315_MTO1
SRR15192315_FUN_001116-T1	SRR15192315_STD1
SRR15192315_FUN_001117-T1	SRR15192315_fcf2
SRR15192315_FUN_001119-T1	SRR15192315_FRS2
SRR15192315_FUN_001120-T1	SRR15192315_PMP3_2
SRR15192315_FUN_001121-T1	SRR15192315_LPD1
SRR15192315_FUN_001123-T1	SRR15192315_ALG5
SRR15192315_FUN_001124-T1	SRR15192315_CET1
SRR15192315_FUN_001125-T1	SRR15192315_IDP2
SRR15192315_FUN_001126-T1	SRR15192315_KAR4
SRR15192315_FUN_001128-T1	SRR15192315_MIC10
SRR15192315_FUN_001129-T1	SRR15192315_STE20
SRR15192315_FUN_001137-T1	SRR15192315_SEN2
SRR15192315_FUN_001140-T1	SRR15192315_SUL2
SRR15192315_FUN_001141-T1	SRR15192315_TIF1
SRR15192315_FUN_001142-T1	SRR15192315_GLG2_1
SRR15192315_FUN_001143-T1	SRR15192315_RPS21
SRR15192315_FUN_001144-T1	SRR15192315_TRM2
SRR15192315_FUN_001145-T1	SRR15192315_LCB3
SRR15192315_FUN_001146-T1	SRR15192315_RHO4
SRR15192315_FUN_001147-T1	SRR15192315_TOS1
SRR15192315_FUN_001148-T1	SRR15192315_MPA43
SRR15192315_FUN_001150-T1	SRR15192315_VMA4
SRR15192315_FUN_001152-T1	SRR15192315_SYR1
SRR15192315_FUN_001153-T1	SRR15192315_pli1
SRR15192315_FUN_001154-T1	SRR15192315_RPB7
SRR15192315_FUN_001155-T1	SRR15192315_MRPL23
SRR15192315_FUN_001156-T1	SRR15192315_RPB2
SRR15192315_FUN_001157-T1	SRR15192315_MRP20
SRR15192315_FUN_001159-T1	SRR15192315_DSL1
SRR15192315_FUN_001163-T1	SRR15192315_FAR11
SRR15192315_FUN_001164-T1	SRR15192315_tom22
SRR15192315_FUN_001165-T1	SRR15192315_EPT1
SRR15192315_FUN_001167-T1	SRR15192315_TEP1
SRR15192315_FUN_001168-T1	SRR15192315_TOM70
SRR15192315_FUN_001170-T1	SRR15192315_FPR1
SRR15192315_FUN_001176-T1	SRR15192315_GSY1
SRR15192315_FUN_001177-T1	SRR15192315_PWP2
SRR15192315_FUN_001181-T1	SRR15192315_GSL2
SRR15192315_FUN_001183-T1	SRR15192315_ACC1
SRR15192315_FUN_001187-T1	SRR15192315_TIM23
SRR15192315_FUN_001188-T1	SRR15192315_dus2
SRR15192315_FUN_001195-T1	SRR15192315_MRS2
SRR15192315_FUN_004884-T1	SRR15192315_GUS1
SRR15192315_FUN_004885-T1	SRR15192315_sif3
SRR15192315_FUN_004889-T1	SRR15192315_HEM13
SRR15192315_FUN_004890-T1	SRR15192315_ALR1
SRR15192315_FUN_004891-T1	SRR15192315_kri1
SRR15192315_FUN_004898-T1	SRR15192315_CAS5
SRR15192315_FUN_004899-T1	SRR15192315_AAT22
SRR15192315_FUN_004901-T1	SRR15192315_NEM1
SRR15192315_FUN_004904-T1	SRR15192315_PRP21
SRR15192315_FUN_004905-T1	SRR15192315_RPS6
SRR15192315_FUN_004906-T1	SRR15192315_RLM1
SRR15192315_FUN_004907-T1	SRR15192315_SEC16
SRR15192315_FUN_004908-T1	SRR15192315_PAB1
SRR15192315_FUN_004909-T1	SRR15192315_TPS2
SRR15192315_FUN_004910-T1	SRR15192315_EHT1
SRR15192315_FUN_004912-T1	SRR15192315_tfs1
SRR15192315_FUN_004913-T1	SRR15192315_CYS4
SRR15192315_FUN_004914-T1	SRR15192315_PTR3
SRR15192315_FUN_004919-T1	SRR15192315_EDC3
SRR15192315_FUN_004921-T1	SRR15192315_NBP35
SRR15192315_FUN_004923-T1	SRR15192315_VAC8
SRR15192315_FUN_004928-T1	SRR15192315_vti1
SRR15192315_FUN_004929-T1	SRR15192315_YAH1
SRR15192315_FUN_004932-T1	SRR15192315_ATR1
SRR15192315_FUN_004936-T1	SRR15192315_DAL2
SRR15192315_FUN_004942-T1	SRR15192315_SEC62
SRR15192315_FUN_004943-T1	SRR15192315_atg18
SRR15192315_FUN_004944-T1	SRR15192315_EHD3
SRR15192315_FUN_004948-T1	SRR15192315_MUM2
SRR15192315_FUN_004950-T1	SRR15192315_EBS1
SRR15192315_FUN_004951-T1	SRR15192315_DES1
SRR15192315_FUN_004952-T1	SRR15192315_HTS1
SRR15192315_FUN_004953-T1	SRR15192315_BNA2
SRR15192315_FUN_004954-T1	SRR15192315_hob1
SRR15192315_FUN_004959-T1	SRR15192315_PFS2
SRR15192315_FUN_004960-T1	SRR15192315_ADI1_2
SRR15192315_FUN_004961-T1	SRR15192315_GIM4
SRR15192315_FUN_004962-T1	SRR15192315_WBP1
SRR15192315_FUN_004963-T1	SRR15192315_URM1
SRR15192315_FUN_004964-T1	SRR15192315_NAS2
SRR15192315_FUN_004965-T1	SRR15192315_MET16
SRR15192315_FUN_004967-T1	SRR15192315_YDC1
SRR15192315_FUN_004968-T1	SRR15192315_msh2
SRR15192315_FUN_004971-T1	SRR15192315_MRP17
SRR15192315_FUN_004972-T1	SRR15192315_AUR1
SRR15192315_FUN_004973-T1	SRR15192315_KAR2
SRR15192315_FUN_004974-T1	SRR15192315_NOT3
SRR15192315_FUN_004975-T1	SRR15192315_PEX12
SRR15192315_FUN_004976-T1	SRR15192315_MRI1
SRR15192315_FUN_004977-T1	SRR15192315_SPF1
SRR15192315_FUN_004980-T1	SRR15192315_VAS1
SRR15192315_FUN_004981-T1	SRR15192315_PRP31
SRR15192315_FUN_004982-T1	SRR15192315_RRP46
SRR15192315_FUN_004983-T1	SRR15192315_DBF2
SRR15192315_FUN_004986-T1	SRR15192315_rhp26
SRR15192315_FUN_004987-T1	SRR15192315_AIM32
SRR15192315_FUN_004988-T1	SRR15192315_KIC1
SRR15192315_FUN_004989-T1	SRR15192315_SWC3
SRR15192315_FUN_004990-T1	SRR15192315_MRP51
SRR15192315_FUN_004991-T1	SRR15192315_MDM10
SRR15192315_FUN_004995-T1	SRR15192315_LAS1
SRR15192315_FUN_004996-T1	SRR15192315_ATG2
SRR15192315_FUN_004998-T1	SRR15192315_vps35
SRR15192315_FUN_005000-T1	SRR15192315_SEN34
SRR15192315_FUN_005007-T1	SRR15192315_RPS5
SRR15192315_FUN_005008-T1	SRR15192315_VPS4
SRR15192315_FUN_005012-T1	SRR15192315_QCR2
SRR15192315_FUN_005013-T1	SRR15192315_RPO26
SRR15192315_FUN_005015-T1	SRR15192315_ARP1
SRR15192315_FUN_005016-T1	SRR15192315_FUR1
SRR15192315_FUN_005017-T1	SRR15192315_lsm7
SRR15192315_FUN_005020-T1	SRR15192315_RRP9
SRR15192315_FUN_005021-T1	SRR15192315_RPC31
SRR15192315_FUN_005023-T1	SRR15192315_YAT1
SRR15192315_FUN_005024-T1	SRR15192315_MSB1
SRR15192315_FUN_005025-T1	SRR15192315_SKO1
SRR15192315_FUN_005026-T1	SRR15192315_MNS1
SRR15192315_FUN_005029-T1	SRR15192315_STR2
SRR15192315_FUN_005030-T1	SRR15192315_HMG1
